"Code","Département","Nom","Latitude","Longitude","Altitude"
"05183001","05","VILLAR ST PANCRACE",44.880333,6.640333,1310
"05184002","05","VITROLLES",44.408667,5.951667,595
"06004002","06","ANTIBES-GAROUPE",43.564667,7.133,75
"06004003","06","ANTIBES",43.616667,7.116667,10
"06004004","06","ANTIBES-GOLF",43.579667,7.091167,13
"06004009","06","ANTIBES_SAPC",43.599167,7.111167,32
"06004012","06","ANTIBES PORT",43.585333,7.127167,3
"06004014","06","ANTIBES",43.590167,7.128333,1
"06005001","06","ASCROS",43.922,7.013667,1173
"06006001","06","ASPREMONT",43.754667,7.247667,380
"06010001","06","BAR-SUR-LOUP",43.7,6.983333,330
"06015001","06","BERRE-DES-ALPES",43.838333,7.321667,715
"06015002","06","BERRE LES ALPES-COLLA DONNA",43.824333,7.338167,500
"06016001","06","BEUIL-OBS",44.089833,6.988,1464
"06016004","06","BEUIL",44.089,6.989333,1368
"06020001","06","LA BOLLENE-VESUBIE BOURG",43.991667,7.333333,650
"06022001","06","BOUYON-OBS",43.815333,7.107167,730
"06022002","06","BOUYON",43.823,7.118167,723
"06023004","06","BREIL SUR ROYA",43.940167,7.513667,305
"06029001","06","CANNES",43.5565,6.9505,2
"06029002","06","CANNES PEPINIERE MUNICIPALE",43.558333,7.016667,59
"06029007","06","CANNES PORT",43.55,7.033333,3
"06033001","06","CARROS-OBS",43.766667,7.2,63
"06033002","06","CARROS_SAPC",43.786667,7.209167,78
"06037001","06","CAUSSOLS LA CELLE",43.743333,6.898333,1104
"06037002","06","CAUSSOLS",43.752333,6.923167,1268
"06038001","06","CHATEAUNEUF GRASSE",43.678333,6.996167,379
"06044001","06","COLLE LOUP-OBS",43.689333,7.072667,44
"06044002","06","COLLE SUR LOUP",43.691667,7.1,165
"06046001","06","COLOMARS",43.766667,7.216667,334
"06048001","06","CONTES-OBS",43.8045,7.317167,190
"06048002","06","CONTES SCLOS DE CONTES",43.815,7.316667,340
"06048003","06","CONTES",43.8,7.316667,200
"06050002","06","COURSEGOULES_SAPC",43.792,7.0485,985
"06051001","06","LA CROIX SUR ROUDOULE_SAPC",43.987667,6.873333,860
"06052001","06","CUEBRIS",43.888,7.015667,562
"06056002","06","ENTRAUNES",44.19,6.748333,1659
"06056003","06","ENTRAUNES-ESTENC",44.255833,6.753,1850
"06056400","06","Estenc",44.239167,6.753,1850
"06057001","06","L ESCARENE",43.838,7.355,380
"06059001","06","EZE-OBS",43.726,7.355,388
"06059003","06","EZE",43.738833,7.365833,704
"06069002","06","GRASSE-OBS",43.65,6.9,318
"06069008","06","GRASSE",43.653667,6.9395,183
"06070001","06","GREOLIERES",43.833333,6.966667,1380
"06071001","06","GUILLAUMES-OBS",44.090667,6.852333,788
"06071003","06","GUILLAUMES",44.1,6.85,780
"06073001","06","ISOLA",44.2,7.033333,870
"06073005","06","ISOLA 2000",44.1895,7.149,1912
"06073405","06","ISOLA",44.1895,7.149,1912
"06074005","06","LANTOSQUE_SAPC",43.972,7.307,550
